country,oecd_accession_date,hmd_code,scope_note
Australia,1971-06-07,AUS,long-standing OECD member before 1990
Austria,1961-09-30,AUT,long-standing OECD member before 1990
Belgium,1961-09-30,BEL,long-standing OECD member before 1990
Canada,1961-09-30,CAN,long-standing OECD member before 1990
Denmark,1961-09-30,DNK,long-standing OECD member before 1990
Finland,1969-01-28,FIN,long-standing OECD member before 1990
France,1961-09-30,FRATNP,long-standing OECD member before 1990
Germany,1961-09-30,DEUTNP,long-standing OECD member before 1990
Greece,1961-09-30,GRC,long-standing OECD member before 1990
Iceland,1961-09-30,ISL,long-standing OECD member before 1990
Ireland,1961-09-30,IRL,long-standing OECD member before 1990
Italy,1962-03-29,ITA,long-standing OECD member before 1990
Japan,1964-04-28,JPN,long-standing OECD member before 1990
Luxembourg,1961-12-07,LUX,long-standing OECD member before 1990
Netherlands,1961-11-13,NLD,long-standing OECD member before 1990
New Zealand,1973-05-29,NZL_NP,long-standing OECD member before 1990
Norway,1961-09-30,NOR,long-standing OECD member before 1990
Portugal,1961-09-30,PRT,long-standing OECD member before 1990
Spain,1961-09-30,ESP,long-standing OECD member before 1990
Sweden,1961-09-30,SWE,long-standing OECD member before 1990
Switzerland,1961-09-30,CHE,long-standing OECD member before 1990
Türkiye,1961-09-30,,long-standing OECD member before 1990; no primary HMD series in supplied files
United Kingdom,1961-09-30,GBR_NP,long-standing OECD member before 1990
United States,1961-09-30,USA,long-standing OECD member before 1990
